  0 x=[64,178] y=[2,36] w=115 text='[表 16-1]'
  1 x=[495,617] y=[39,61] w=122 text='组成[质量份]'
  2 x=[1018,1099] y=[40,62] w=81 text='(A1) 在'
  3 x=[1266,1356] y=[40,61] w=90 text='(D)着色'
  4 x=[1123,1251] y=[53,74] w=128 text='(B)在(A1)、'
  5 x=[174,239] y=[66,88] w=66 text='来自颜'
  6 x=[437,568] y=[68,87] w=130 text='（B）自由基聚'
  7 x=[1019,1098] y=[65,87] w=79 text='(A1) 与'
  8 x=[1266,1351] y=[66,87] w=85 text='剂在全部'
  9 x=[351,416] y=[77,102] w=65 text='来自调'
 10 x=[116,164] y=[88,117] w=48 text='颜料'
 11 x=[1124,1250] y=[79,99] w=126 text='（A2）及（B）'
 12 x=[173,240] y=[90,115] w=68 text='料分散'
 13 x=[253,337] y=[90,113] w=84 text='来自调配'
 14 x=[446,551] y=[92,113] w=105 text='合性化合物'
 15 x=[583,793] y=[92,112] w=210 text='（C1）光来自颜料分散'
 16 x=[808,913] y=[91,113] w=105 text='来自颜料分'
 17 x=[1009,1110] y=[92,113] w=101 text='(A2)的合'
 18 x=[1267,1350] y=[91,113] w=83 text='固态成分'
 19 x=[351,416] y=[104,126] w=65 text='配液的'
 20 x=[935,984] y=[114,142] w=48 text='溶剂'
 21 x=[1124,1247] y=[105,126] w=124 text='的合计中所占'
 22 x=[117,163] y=[115,142] w=46 text='分散'
 23 x=[182,229] y=[116,141] w=47 text='液的'
 24 x=[250,340] y=[119,139] w=90 text='液的(A1)'
 25 x=[442,563] y=[118,139] w=121 text='(B1)化合物'
 26 x=[578,798] y=[118,139] w=221 text='聚合引发液的(D)着色'
 27 x=[799,911] y=[119,139] w=112 text='散液的(E)'
 28 x=[1004,1107] y=[117,139] w=103 text='计中所占的'
 29 x=[1268,1349] y=[117,139] w=81 text='中所占的'
 30 x=[351,422] y=[129,153] w=71 text='(A2)第'
 31 x=[1133,1238] y=[129,152] w=105 text='的含有比率'
 32 x=[123,156] y=[140,169] w=33 text='液'
 33 x=[174,251] y=[144,166] w=77 text='(A1)第'
 34 x=[246,337] y=[143,167] w=91 text='第一树脂'
 35 x=[442,563] y=[145,164] w=121 text='（B2)化合物'
 36 x=[604,632] y=[142,169] w=28 text='剂'
 37 x=[716,743] y=[142,169] w=27 text='剂'
 38 x=[827,893] y=[142,168] w=67 text='分散剂'
 39 x=[1013,1097] y=[143,166] w=84 text='含有比率'
 40 x=[1267,1350] y=[143,166] w=83 text='含有比率'
 41 x=[351,417] y=[155,180] w=66 text='二树脂'
 42 x=[1147,1225] y=[156,182] w=77 text='[质量%]'
 43 x=[175,239] y=[169,192] w=65 text='一树脂'
 44 x=[442,563] y=[170,191] w=121 text='(B3)化合物'
 45 x=[1018,1094] y=[169,193] w=76 text='[质量%]'
 46 x=[1270,1348] y=[169,194] w=78 text='[质量%]'
 47 x=[359,407] y=[198,218] w=48 text='AC-1'
 48 x=[432,557] y=[198,218] w=125 text='DPHA(25)'
 49 x=[581,656] y=[198,216] w=75 text='NCI-831'
 50 x=[675,786] y=[198,216] w=112 text='Bk-S0100CF'
 51 x=[825,896] y=[197,217] w=72 text='S-20000'
 52 x=[935,986] y=[199,219] w=50 text='MBA'
 53 x=[6,161] y=[209,231] w=155 text='比较例186|Bk-1'
 54 x=[1048,1065] y=[210,232] w=17 text='0'
 55 x=[1172,1199] y=[210,233] w=27 text='35'
 56 x=[1288,1329] y=[209,232] w=41 text='22.0'
 57 x=[359,408] y=[221,243] w=49 text='(65)'
 58 x=[426,565] y=[223,244] w=139 text='A-BPEF (10)'
 59 x=[594,644] y=[221,243] w=50 text='(12)'
 60 x=[699,763] y=[222,243] w=64 text='(34.8)'
 61 x=[829,892] y=[222,243] w=64 text='(11.6)'
 62 x=[925,995] y=[222,242] w=71 text='PGMEA'
 63 x=[186,227] y=[249,269] w=40 text='PI-1'
 64 x=[275,315] y=[248,269] w=40 text='PI-1'
 65 x=[457,541] y=[251,268] w=84 text='DPCA-60'
 66 x=[581,656] y=[250,267] w=75 text='NCI-831'
 67 x=[676,785] y=[251,268] w=110 text='Bk-S0100CF'
 68 x=[825,896] y=[250,268] w=72 text='S-20000'
 69 x=[7,163] y=[261,282] w=156 text='比较例 2|87|Bk-2'
 70 x=[934,986] y=[261,282] w=52 text='MBA'
 71 x=[1038,1074] y=[261,284] w=35 text='100'
 72 x=[1172,1199] y=[261,284] w=27 text='35'
 73 x=[1288,1329] y=[261,284] w=41 text='22.0'
 74 x=[175,238] y=[273,294] w=64 text='(11.6)'
 75 x=[263,327] y=[273,294] w=64 text='(53.4)'
 76 x=[475,524] y=[273,295] w=49 text='(35)'
 77 x=[595,644] y=[273,295] w=49 text='(12)'
 78 x=[699,763] y=[274,294] w=64 text='(34.8)'
 79 x=[828,892] y=[273,295] w=65 text='(11.6)'
 80 x=[186,227] y=[300,320] w=40 text='PI-1'
 81 x=[275,316] y=[300,320] w=41 text='PI-1'
 82 x=[433,556] y=[301,320] w=123 text='DPHA(10)'
 83 x=[581,657] y=[301,319] w=76 text='NCI-831'
 84 x=[676,786] y=[302,319] w=111 text='Bk-S0100CF'
 85 x=[824,896] y=[300,320] w=73 text='S-20000'
 86 x=[7,114] y=[313,333] w=107 text='比较例 3|88'
 87 x=[115,161] y=[313,333] w=46 text='Bk-2'
 88 x=[935,986] y=[313,334] w=52 text='MBA'
 89 x=[1038,1074] y=[312,336] w=35 text='100'
 90 x=[1172,1199] y=[312,335] w=27 text='35'
 91 x=[1288,1329] y=[312,335] w=41 text='22.0'
 92 x=[175,238] y=[324,345] w=64 text='(11.6)'
 93 x=[263,327] y=[324,345] w=64 text='(53.4)'
 94 x=[426,573] y=[326,346] w=147 text='DPCA-60 (25)'
 95 x=[594,644] y=[324,346] w=50 text='(12)'
 96 x=[699,763] y=[324,345] w=64 text='(34.8)'
 97 x=[829,892] y=[324,345] w=64 text='(11.6)'
 98 x=[186,227] y=[352,372] w=40 text='PI-1'
 99 x=[275,316] y=[352,373] w=41 text='PI-1'
100 x=[471,528] y=[353,371] w=57 text='DPHA'
101 x=[581,657] y=[352,371] w=76 text='NCI-831'
102 x=[675,786] y=[353,371] w=112 text='Bk-S0100CF'
103 x=[825,896] y=[353,371] w=72 text='S-20000'
104 x=[7,114] y=[364,384] w=107 text='比较例 489'
